year,Average AQI value,CO2 emissions (energy consumption in 1000 tons),SO2 emissions,CO emissions,NH3 emissions ,NOx emissions ,PM 2.5 emissions,PM 10 emissions
1999,45,6281400,17478,114541.2639,4857,22844.74319,7211,23383.385
2000,42,6489678,16278,114466.6332,4907,22598.43359,7288,23746.877
2001,43,6367356,15888,106262.3274,3689,21548.51071,6996,23707.594
2002,43,6413640,14952,102032.8477,3994.116969,23958.76051,5805,21575.8791
2003,42,6486372,14728,99592.69794,4005.129141,22650.57624,5888,21664.48531
2004,40,6605388,14491,97147.1535,4015.837537,21331.13976,5970,21749.04566
2005,43,6619714,14490,88545.88955,3931.551519,20354.76445,5592,21301.52233
2006,42,6533758,13067,85837.09915,4076.889689,19227.00009,5736,21401.1337
2007,42,6629632,11643,83128.30875,4222.22786,18099.23574,5881,21500.74507
2008,41,6416946,10254,79655.08913,4359.321237,16909.35917,6014,21579.93223
2009,38,5955208,9019,72752.5247,4315.138959,15771.70526,5988,21199.24145
