city,year,AQI value
Albuquerque(New Mexico),2010,62.10410959
Albuquerque(New Mexico),2011,68.62739726
Albuquerque(New Mexico),2012,66.46174863
Albuquerque(New Mexico),2013,58.00821918
Albuquerque(New Mexico),2014,53.14520548
Albuquerque(New Mexico),2015,52.34246575
Albuquerque(New Mexico),2016,54.05191257
Albuquerque(New Mexico),2017,56.43013699
Albuquerque(New Mexico),2018,60.8
Albuquerque(New Mexico),2019,56.12328767
Albuquerque(New Mexico),2020,58.16393443
Baton Rouge(Louisiana),2010,64.60547945
Baton Rouge(Louisiana),2011,63.93972603
Baton Rouge(Louisiana),2012,59.08743169
Baton Rouge(Louisiana),2013,51.36164384
Baton Rouge(Louisiana),2014,55.22739726
Baton Rouge(Louisiana),2015,56.24383562
Baton Rouge(Louisiana),2016,53.2431694
Baton Rouge(Louisiana),2017,49.15068493
Baton Rouge(Louisiana),2018,51.1369863
Baton Rouge(Louisiana),2019,49.78082192
Baton Rouge(Louisiana),2020,46.69398907
Bismarck(North Dakota),2010,42.09041096
Bismarck(North Dakota),2011,38.51232877
Bismarck(North Dakota),2012,39.72131148
Bismarck(North Dakota),2013,40.01917808
Bismarck(North Dakota),2014,38.32876712
Bismarck(North Dakota),2015,41.01643836
Bismarck(North Dakota),2016,34.78415301
Bismarck(North Dakota),2017,41.02191781
Bismarck(North Dakota),2018,42.60273973
Bismarck(North Dakota),2019,38.41643836
Bismarck(North Dakota),2020,38.16939891
Charlotte(n.c),2010,63.01917808
Charlotte(n.c),2011,62.06849315
Charlotte(n.c),2012,56.72404372
Charlotte(n.c),2013,46.92328767
Charlotte(n.c),2014,50.21917808
Charlotte(n.c),2015,51.69589041
Charlotte(n.c),2016,50.64480874
Charlotte(n.c),2017,49.84109589
Charlotte(n.c),2018,48.52328767
Charlotte(n.c),2019,54.35342466
Charlotte(n.c),2020,43.34246575
chicago(Illinois),2010,72.41369863
chicago(Illinois),2011,66.32328767
chicago(Illinois),2012,71.73497268
chicago(Illinois),2013,61.9369863
chicago(Illinois),2014,64.66027397
chicago(Illinois),2015,60.69863014
chicago(Illinois),2016,59.66666667
chicago(Illinois),2017,58.84383562
chicago(Illinois),2018,62.4630137
chicago(Illinois),2019,58.10136986
chicago(Illinois),2020,60.10655738
Columbus(Ohio),2010,55.28219178
Columbus(Ohio),2011,53.9890411
Columbus(Ohio),2012,56.15846995
Columbus(Ohio),2013,47.73424658
Columbus(Ohio),2014,49.31506849
Columbus(Ohio),2015,46.56986301
Columbus(Ohio),2016,44.96448087
Columbus(Ohio),2017,43.05753425
Columbus(Ohio),2018,45.77260274
Columbus(Ohio),2019,48.0109589
Columbus(Ohio),2020,42.69945355
Denver(Colorado),2010,67.60273973
Denver(Colorado),2011,70.5260274
Denver(Colorado),2012,71.93442623
Denver(Colorado),2013,69.9260274
Denver(Colorado),2014,67.67123288
Denver(Colorado),2015,67.1369863
Denver(Colorado),2016,66.90163934
Denver(Colorado),2017,68.7260274
Denver(Colorado),2018,71.97534247
Denver(Colorado),2019,64.80547945
Denver(Colorado),2020,65.49180328
Helena(Montana),2010,34.32328767
