city,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albuquerque(New Mexico),62.10410959,68.62739726,66.46174863,58.00821918,53.14520548,52.34246575,54.05191257,56.43013699,60.8,56.12328767,58.16393443
Baton Rouge(Louisiana),64.60547945,63.93972603,59.08743169,51.36164384,55.22739726,56.24383562,53.2431694,49.15068493,51.1369863,49.78082192,46.69398907
Bismarck(North Dakota),42.09041096,38.51232877,39.72131148,40.01917808,38.32876712,41.01643836,34.78415301,41.02191781,42.60273973,38.41643836,38.16939891
Charlotte(n.c),63.01917808,62.06849315,56.72404372,46.92328767,50.21917808,51.69589041,50.64480874,49.84109589,48.52328767,54.35342466,43.34246575
chicago(Illinois),72.41369863,66.32328767,71.73497268,61.9369863,64.66027397,60.69863014,59.66666667,58.84383562,62.4630137,58.10136986,60.10655738
Columbus(Ohio),55.28219178,53.9890411,56.15846995,47.73424658,49.31506849,46.56986301,44.96448087,43.05753425,45.77260274,48.0109589,42.69945355
Denver(Colorado),67.60273973,70.5260274,71.93442623,69.9260274,67.67123288,67.1369863,66.90163934,68.7260274,71.97534247,64.80547945,65.49180328
Helena(Montana),34.32328767,43.16438356,45.27868852,39.32054795,44.06575342,47.12328767,42.25409836,56.06575342,45.56986301,44.10410959,43.42936288
Houston(Texas),65.85205479,69,65.68579235,59.31506849,58.10136986,63.98630137,58.35245902,57.8109589,58.86575342,60.15890411,57.70765027
Jacksonville(florida),48.13424658,47.42191781,40.75136612,41.1369863,46.40547945,41.56164384,44.99180328,44.01643836,45.43561644,45.86027397,44.56010929
Las Vegas(Nevada),62.80273973,66.0739726,71.29508197,67.04657534,63.02465753,62.90684932,63.49453552,63.88219178,67.88767123,59.01917808,65.23770492
Los Angeles,87.01369863,92.64931507,92.13387978,87.89589041,89.95890411,91.67123288,86.7568306,92.15616438,85.95890411,82.62739726,97.85245902
philadelphia,68.76986301,67.10684932,67.46448087,61.46575342,63.40821918,63.57534247,61.41530055,59.15890411,59.39452055,55.62739726,51.53005464
Phoenix(Arizona),82.35068493,121.5972603,93.72677596,91.04657534,111.2438356,92.78356164,83.32240437,87.2739726,92.63287671,89.8739726,138.0491803
new york,69.31506849,67.64931507,64.06830601,59.74520548,59.50136986,63.03835616,59.81420765,57.86849315,58.93424658,56.84931507,52.6557377
San Francisco,53.03013699,54.98356164,50.72677596,55.34794521,52.24109589,53.57260274,52.16120219,56.4109589,59,47.82191781,54.41803279
Seattle(Washington),45.14794521,50.05479452,49.69945355,54.05205479,51.35068493,54.48219178,46.06010929,56.76438356,52.9260274,48.72328767,50.3579235
Topeka(Kansas),42.12328767,46.07945205,48.45081967,39.73972603,39.16438356,37.69863014,37.6010929,40.7369863,43.39726027,42.2109589,41.78947368
,,,,,,,,,,,
,,,,,,,,,,,
AQI value,,,,,,,,,,,
